At1,At2,Class
-1.58,588,BananaShape2
-1.58,807,BananaShape2
683,-0.0347,BananaShape1
-668,-1.13,BananaShape2
-2.05,-1.4,BananaShape1
-679,-0.0957,BananaShape1
-924,1.45,BananaShape2
-547,-1.31,BananaShape2
0.0296,1.2,BananaShape2
2.23,895,BananaShape1
-0.56,-1.41,BananaShape2
-558,-1.67,BananaShape2
0.0598,-1.26,BananaShape2
0.51,-1.15,BananaShape2
-122,-0.0671,BananaShape1
-502,-1.04,BananaShape2
1.41,-808,BananaShape1
-0.68,314,BananaShape1
-347,574,BananaShape1
-155,1.29,BananaShape2
1.18,0.0819,BananaShape2
1.8,-1,BananaShape2
-653,-734,BananaShape2
1.3,648,BananaShape2
265,-182,BananaShape1
896,0.36,BananaShape1
-945,-1.43,BananaShape2
-1.26,-1.01,BananaShape1
-1.65,-723,BananaShape1
-103,-1.71,BananaShape2
1.87,1.19,BananaShape1
839,-0.0819,BananaShape1
167,0.87,BananaShape2
-917,-863,BananaShape2
1.26,-912,BananaShape1
-786,-1.02,BananaShape2
2.81,1.3,BananaShape1
725,-0.54,BananaShape1
-709,-262,BananaShape1
0.56,-1.05,BananaShape2
-1,78,BananaShape1
1.18,-0.0513,BananaShape2
-1.29,891,BananaShape2
126,-865,BananaShape2
1.31,-238,BananaShape2
1.62,-919,BananaShape2
918,0.82,BananaShape2
2.17,1.24,BananaShape1
433,0.38,BananaShape1
211,-1.28,BananaShape2
1.18,-0.0335,BananaShape2
-1.32,-403,BananaShape1
-0.0936,-1.28,BananaShape2
-812,-411,BananaShape1
933,1.21,BananaShape2
642,909,BananaShape2
1.16,1.48,BananaShape1
-0.54,-601,BananaShape1
-1.48,-682,BananaShape1
1.41,-1.48,BananaShape1
-1.63,-1.16,BananaShape1
663,1.7,BananaShape2
0.0329,1.88,BananaShape2
-1.08,-0.0594,BananaShape1
981,-0.0572,BananaShape2
-334,0.18,BananaShape1
-477,676,BananaShape1
1.12,-756,BananaShape1
1.36,482,BananaShape2
123,-1.62,BananaShape2
-259,996,BananaShape2
-0.0662,-479,BananaShape1
-1.4,553,BananaShape2
0.1,-1.48,BananaShape2
1.37,428,BananaShape2
-0.32,707,BananaShape1
1.76,1.33,BananaShape1
-254,403,BananaShape1
636,1.34,BananaShape1
-437,-984,BananaShape2
-804,396,BananaShape1
685,2.2,BananaShape2
1.89,834,BananaShape1
-615,-1.36,BananaShape2
387,1.71,BananaShape2
-238,-1.49,BananaShape2
-1.03,-422,BananaShape1
656,844,BananaShape2
713,2.04,BananaShape1
1.26,1.72,BananaShape2
-745,987,BananaShape2
-1.44,-358,BananaShape1
127,1.22,BananaShape2
1.79,1.5,BananaShape1
-0.27,0.0117,BananaShape1
418,-1.12,BananaShape2
2.17,1.45,BananaShape1
1.66,1.3,BananaShape1
2.12,1.1,BananaShape1
-252,623,BananaShape1
0.16,-1.4,BananaShape2
1.27,301,BananaShape2
-0.93,758,BananaShape2
-966,487,BananaShape1
0.0236,-1.07,BananaShape2
517,-931,BananaShape2
-1.95,-0.9,BananaShape1
213,-752,BananaShape2
-377,-973,BananaShape2
395,423,BananaShape1
-0.76,-862,BananaShape2
-947,445,BananaShape1
112,238,BananaShape1
1.24,342,BananaShape2
-322,-356,BananaShape1
-1.15,587,BananaShape2
923,246,BananaShape2
-339,806,BananaShape1
-711,0.0759,BananaShape1
157,-934,BananaShape2
235,-1.05,BananaShape2
-111,-1.33,BananaShape2
-651,369,BananaShape1
527,1.18,BananaShape2
1.76,1.48,BananaShape1
0.0386,-1.26,BananaShape2
584,-212,BananaShape1
-1.02,-1.01,BananaShape2
-1.2,-248,BananaShape1
-824,858,BananaShape2
191,1.94,BananaShape2
-259,1.34,BananaShape2
-1.22,1.12,BananaShape2
1.11,0.57,BananaShape2
73,-0.00169,BananaShape1
-0.0281,-323,BananaShape1
0.48,-1.15,BananaShape2
0.0967,-1.4,BananaShape2
375,1.24,BananaShape2
-1.63,101,BananaShape2
0.02,-1.54,BananaShape2
592,1.15,BananaShape2
0.0071,-924,BananaShape2
784,972,BananaShape2
1.33,335,BananaShape2
-1.42,-0.0747,BananaShape1
-795,1.17,BananaShape2
-0.0247,-1.5,BananaShape2
904,1.04,BananaShape2
237,0.0367,BananaShape1
604,-709,BananaShape1
-948,-982,BananaShape2
686,-0.19,BananaShape1
1.2,-754,BananaShape1
-1.59,763,BananaShape2
255,412,BananaShape2
1.78,1.35,BananaShape1
-629,-118,BananaShape1
0.0428,-1.04,BananaShape2
973,457,BananaShape2
-639,1.28,BananaShape2
1.23,-0.00847,BananaShape2
2.64,966,BananaShape1
323,-796,BananaShape1
-1.12,-1.39,BananaShape2
-1.14,693,BananaShape2
0.0328,1.22,BananaShape2
0.0496,-1.05,BananaShape2
-2.11,-1.45,BananaShape1
-1.28,213,BananaShape1
-577,206,BananaShape1
2.71,1.35,BananaShape1
121,1.63,BananaShape2
-0.0275,-1.42,BananaShape2
-1.15,406,BananaShape1
-204,-1.54,BananaShape2
-299,-1.14,BananaShape2
216,1.96,BananaShape1
-567,-1.14,BananaShape2
-236,-1.17,BananaShape2
1.22,-0.0466,BananaShape2
-852,-0.59,BananaShape1
-1.06,917,BananaShape2
595,1.02,BananaShape2
1.05,768,BananaShape2
996,1.04,BananaShape2
1,1.69,BananaShape1
799,995,BananaShape2
725,1.39,BananaShape2
782,1.8,BananaShape2
1.93,1.34,BananaShape1
-791,-1.43,BananaShape2
1.33,-486,BananaShape1
1.64,-605,BananaShape2
1.13,0.33,BananaShape2
-1.58,456,BananaShape2
-0.0767,1.68E-04,BananaShape1
-1.87,-1.17,BananaShape1
-892,1.25,BananaShape2
785,173,BananaShape2
1.04,779,BananaShape2
-693,953,BananaShape2
682,-146,BananaShape2
-167,1.07,BananaShape2
-621,-1.12,BananaShape2
133,-227,BananaShape1
871,1.29,BananaShape2
-719,-384,BananaShape1
0.0379,-1.64,BananaShape2
1.57,1.43,BananaShape1
314,1.84,BananaShape2
1.68,-293,BananaShape2
-656,-334,BananaShape1
551,921,BananaShape2
-1.52,946,BananaShape2
-156,-1.16,BananaShape2
0.0652,-766,BananaShape2
-1.15,771,BananaShape2
1.07,-221,BananaShape1
535,1.4,BananaShape2
-0.0692,1.73,BananaShape1
2.36,1.33,BananaShape1
-599,-965,BananaShape2
-903,-0.0822,BananaShape1
-1.6,682,BananaShape2
271,-0.0382,BananaShape1
838,603,BananaShape2
1.34,-689,BananaShape2
657,1.05,BananaShape2
-1.52,506,BananaShape2
-1.21,488,BananaShape2
-112,1.85,BananaShape1
0.74,1.53,BananaShape1
451,-0.00833,BananaShape1
-1.6,632,BananaShape2
-2.1,-859,BananaShape1
-1.37,645,BananaShape2
0.52,1.25,BananaShape2
-198,-536,BananaShape1
1.54,1.24,BananaShape1
-421,-731,BananaShape2
1.1,253,BananaShape2
734,-212,BananaShape1
-2.12,-575,BananaShape1
-0.0531,-1.26,BananaShape2
835,-0.0137,BananaShape2
1.1,604,BananaShape2
-505,1.17,BananaShape2
-524,-857,BananaShape2
-1.89,-799,BananaShape1
-975,-182,BananaShape1
616,-1.07,BananaShape1
-362,-1.7,BananaShape2
611,649,BananaShape2
-1.41,-1.02,BananaShape1
-614,-1.43,BananaShape2
-286,-571,BananaShape1
-697,-1.69,BananaShape2
-859,885,BananaShape2
526,1.36,BananaShape1
-251,846,BananaShape1
2.01,-695,BananaShape2
-1.51,-593,BananaShape1
-155,-1.03,BananaShape2
-1.8,529,BananaShape2
-162,-0.0223,BananaShape1
-628,-267,BananaShape1
-746,-0.93,BananaShape2
-0.61,0.00888,BananaShape1
-0.0339,-1.66,BananaShape2
935,556,BananaShape2
1.01,829,BananaShape2
-2.77,0.0962,BananaShape2
1.26,0.0903,BananaShape2
-638,-1.01,BananaShape2
552,961,BananaShape2
-239,-848,BananaShape2
275,-202,BananaShape1
-1.83,601,BananaShape2
-507,1.24,BananaShape2
908,-506,BananaShape1
1.16,703,BananaShape2
-751,-1.37,BananaShape2
-628,601,BananaShape1
-0.5,-0.0595,BananaShape1
-889,-884,BananaShape2
-341,169,BananaShape1
0.0554,-139,BananaShape1
-455,-1.3,BananaShape2
-116,0.0815,BananaShape1
-0.71,-874,BananaShape1
1.35,-0.25,BananaShape2
1.51,1.59,BananaShape1
1.67,-978,BananaShape2
-116,-1.36,BananaShape2
-1.95,-0.16,BananaShape1
1.75,-1.03,BananaShape2
2.36,1.5,BananaShape1
1.24,828,BananaShape2
-526,1.19,BananaShape2
-0.0866,-1.37,BananaShape2
-1.46,-891,BananaShape1
637,0.00536,BananaShape1
384,-314,BananaShape1
431,266,BananaShape2
1.35,644,BananaShape2
-744,196,BananaShape1
-0.45,-1.59,BananaShape2
1.31,1.07,BananaShape2
-696,-1.2,BananaShape2
553,-817,BananaShape1
-532,-179,BananaShape1
-861,-862,BananaShape2
-1.25,-897,BananaShape1
-631,-914,BananaShape2
524,-648,BananaShape1
791,1.69,BananaShape1
-501,1.1,BananaShape2
768,-917,BananaShape1
1.29,1.07,BananaShape2
1.24,0.00235,BananaShape2
811,2,BananaShape2
1.18,1.25,BananaShape1
0.32,-465,BananaShape1
-1.27,-704,BananaShape1
-869,1.38,BananaShape2
-468,245,BananaShape1
1.44,-1.52,BananaShape1
-1.62,-1.16,BananaShape1
1.89,1.1,BananaShape1
284,2.31,BananaShape2
0.0066,-994,BananaShape2
-1.81,-643,BananaShape1
-1.19,-1.03,BananaShape2
-747,468,BananaShape1
1.19,-966,BananaShape1
748,1.81,BananaShape1
225,1.34,BananaShape2
899,538,BananaShape2
904,195,BananaShape2
-1.25,479,BananaShape2
0.74,1.35,BananaShape1
-798,-1.21,BananaShape2
371,-589,BananaShape1
1.11,0.0482,BananaShape2
-0.27,-1.28,BananaShape2
-369,-984,BananaShape2
-752,-319,BananaShape1
-538,-1.15,BananaShape2
-509,912,BananaShape2
2.51,1.3,BananaShape1
137,1.69,BananaShape2
-129,1.57,BananaShape2
-1.55,-663,BananaShape1
818,845,BananaShape2
-717,-1.03,BananaShape2
0.0188,0.0512,BananaShape1
-0.71,465,BananaShape1
-1.43,-1.18,BananaShape1
-1.39,-282,BananaShape1
753,1.84,BananaShape2
598,484,BananaShape2
0.0256,228,BananaShape1
1.02,508,BananaShape2
-1.32,1.12,BananaShape2
-1.7,422,BananaShape2
-37,-1.35,BananaShape2
-1.01,-211,BananaShape1
-1.25,-1.1,BananaShape2
1.5,637,BananaShape2
-1.02,899,BananaShape1
-827,-757,BananaShape2
1.54,-0.26,BananaShape2
-0.0979,-1.01,BananaShape2
-1.01,-1.29,BananaShape2
-707,-378,BananaShape1
-878,-1.16,BananaShape2
-1.34,717,BananaShape2
2.21,1.21,BananaShape1
0.25,466,BananaShape1
2.34,1.13,BananaShape1
614,-157,BananaShape1
2.03,-427,BananaShape2
-568,-1.36,BananaShape2
-1.64,-1.27,BananaShape1
779,-815,BananaShape1
-707,-568,BananaShape1
-712,-1.1,BananaShape2
1.62,0.0564,BananaShape2
-1.01,412,BananaShape1
1.61,1.4,BananaShape1
-1.26,-503,BananaShape1
-845,-377,BananaShape1
1.31,-566,BananaShape1
-218,2.09,BananaShape2
-0.68,-1.07,BananaShape2
1.15,-1.56,BananaShape1
0.55,857,BananaShape2
-0.43,-1.4,BananaShape2
403,-997,BananaShape2
-0.0017,282,BananaShape1
-617,-458,BananaShape1
143,-1.56,BananaShape2
-221,0.12,BananaShape1
0.58,1.17,BananaShape2
876,-969,BananaShape1
-0.0237,303,BananaShape1
0.0052,0.24,BananaShape1
904,0.97,BananaShape2
-806,575,BananaShape1
423,-334,BananaShape1
1.08,1.36,BananaShape1
-639,1.25,BananaShape2
-0.0782,-1.1,BananaShape2
595,429,BananaShape2
908,1.48,BananaShape1
355,562,BananaShape1
149,-295,BananaShape1
-1.94,-273,BananaShape1
222,214,BananaShape1
-1.44,-0.43,BananaShape1
265,-375,BananaShape1
-295,565,BananaShape1
-1.55,-1.02,BananaShape1
-0.93,-895,BananaShape2
-1.18,422,BananaShape1
-203,-1.08,BananaShape2
1.26,-328,BananaShape1
1.48,-1.05,BananaShape1
-499,-766,BananaShape2
0.12,-1.12,BananaShape2
-338,-0.91,BananaShape2
909,522,BananaShape2
395,0.0856,BananaShape2
-0.7,-1.25,BananaShape2
0.0828,-879,BananaShape1
-832,-1.33,BananaShape2
-2.01,-1.85,BananaShape1
-1.55,695,BananaShape2
-755,-1.09,BananaShape2
-0.83,993,BananaShape2
314,1.54,BananaShape2
-1.44,-225,BananaShape1
287,1.45,BananaShape1
-278,-815,BananaShape1
1.46,-509,BananaShape1
496,1.52,BananaShape2
1.81,-218,BananaShape2
824,0.45,BananaShape2
-2.56,-0.0784,BananaShape2
-836,-507,BananaShape1
66,-1.23,BananaShape2
-742,0.36,BananaShape1
1.31,328,BananaShape2
1.35,1.21,BananaShape1
0.34,-1.03,BananaShape2
-1.07,-616,BananaShape1
-634,1.65,BananaShape2
1.95,-1.02,BananaShape2
-0.0397,-1.09,BananaShape2
1.04,-1.13,BananaShape1
-1.15,729,BananaShape2
-528,953,BananaShape1
854,1.15,BananaShape2
-1.04,1.04,BananaShape2
-921,-1.19,BananaShape2
-1.78,-1.58,BananaShape1
-0.0184,-1.13,BananaShape2
-1.55,386,BananaShape2
-539,-1.21,BananaShape2
-455,494,BananaShape1
1.44,1.38,BananaShape1
-1.2,659,BananaShape2
731,1.31,BananaShape2
-1.39,-1.09,BananaShape1
-413,0.0554,BananaShape1
271,0.38,BananaShape1
-882,1.29,BananaShape2
1.29,-1.04,BananaShape1
299,1.49,BananaShape2
-754,1.1,BananaShape2
-0.0601,2.04,BananaShape1
1.42,-697,BananaShape1
1.12,173,BananaShape2
-783,-1.33,BananaShape2
-1.55,-1.6,BananaShape1
-1.34,146,BananaShape1
-1.1,-1.17,BananaShape2
101,-1.39,BananaShape2
-484,-1.2,BananaShape2
-984,1.03,BananaShape2
-269,961,BananaShape1
-547,1.71,BananaShape2
494,-1.01,BananaShape2
-123,1.86,BananaShape2
-0.0853,-1.12,BananaShape2
1.41,607,BananaShape2
1.27,-159,BananaShape2
-0.0373,-1.32,BananaShape2
433,1.65,BananaShape1
-1.03,-858,BananaShape1
0.69,745,BananaShape2
354,1.06,BananaShape2
-1.92,-1.06,BananaShape1
-541,-0.65,BananaShape1
1.38,-1.36,BananaShape1
1.29,525,BananaShape2
-836,959,BananaShape2
-247,775,BananaShape1
552,942,BananaShape2
-0.19,168,BananaShape1
714,-1.19,BananaShape1
1.19,594,BananaShape2
428,-1.43,BananaShape2
-575,-1.62,BananaShape2
-1.97,-1.72,BananaShape1
-0.0255,-1.3,BananaShape2
-892,1.02,BananaShape2
-132,-1.35,BananaShape2
-1.85,545,BananaShape2
-491,-429,BananaShape1
-158,358,BananaShape1
-475,-1.02,BananaShape2
1.26,-2.39,BananaShape1
-807,992,BananaShape2
1.19,115,BananaShape2
439,1.5,BananaShape2
1.44,-1.73,BananaShape1
109,1.65,BananaShape1
-596,-1.33,BananaShape2
1.11,431,BananaShape2
-347,-556,BananaShape1
1.47,1.39,BananaShape1
1.63,-0.56,BananaShape2
-1.53,1.21,BananaShape2
-1.12,1.1,BananaShape2
0.0551,1.34,BananaShape2
-388,-1.08,BananaShape2
136,-1.36,BananaShape2
-0.79,-823,BananaShape2
646,1.82,BananaShape1
-468,-206,BananaShape1
735,571,BananaShape2
-777,-1.33,BananaShape2
-0.31,1.45,BananaShape2
-0.0693,-1.3,BananaShape2
-162,-334,BananaShape1
724,-574,BananaShape1
-1.03,153,BananaShape1
385,-744,BananaShape2
1.23,-115,BananaShape2
-1.49,796,BananaShape2
0.0586,-133,BananaShape1
1.05,-362,BananaShape1
-0.84,-1.05,BananaShape2
351,-1.42,BananaShape2
-1.34,-462,BananaShape1
-213,0.77,BananaShape1
523,1.05,BananaShape2
-665,1.23,BananaShape2
1.03,1.55,BananaShape1
495,1.54,BananaShape2
582,232,BananaShape2
0.35,889,BananaShape2
321,1.58,BananaShape2
155,0.0373,BananaShape1
-783,931,BananaShape2
153,-875,BananaShape1
1.08,925,BananaShape2
614,908,BananaShape2
-353,1.98,BananaShape1
0.0762,-1.27,BananaShape2
282,-1.43,BananaShape2
876,-807,BananaShape1
-685,459,BananaShape1
265,1.4,BananaShape2
0.29,591,BananaShape2
662,1.49,BananaShape2
-689,-1.45,BananaShape2
-214,-1.27,BananaShape2
-119,-842,BananaShape2
-1.84,-1.23,BananaShape1
-102,-306,BananaShape1
-995,-937,BananaShape2
-479,0.0719,BananaShape1
-1.31,463,BananaShape2
-486,-1.62,BananaShape2
115,-443,BananaShape1
698,784,BananaShape2
1.09,-1.24,BananaShape1
-1.57,-401,BananaShape1
-274,489,BananaShape1
764,1.98,BananaShape1
2.41,946,BananaShape1
-348,119,BananaShape1
1.27,-194,BananaShape2
-0.22,-1.38,BananaShape2
1.08,-1.83,BananaShape1
-414,-1.28,BananaShape2
2.12,1.07,BananaShape1
0.22,2.08,BananaShape2
207,-1.38,BananaShape2
-519,-1,BananaShape2
-0.00634,-1,BananaShape2
-0.68,1.68,BananaShape2
-1.18,-522,BananaShape1
0.32,282,BananaShape1
-638,1.32,BananaShape2
0.72,-154,BananaShape1
0.92,-717,BananaShape1
511,-773,BananaShape1
-681,-586,BananaShape1
1.11,205,BananaShape2
87,-1.28,BananaShape2
1.13,-541,BananaShape1
-16,-1.26,BananaShape2
-439,-884,BananaShape1
424,-0.84,BananaShape2
2.25,-1.4,BananaShape2
139,-803,BananaShape1
488,1.31,BananaShape2
-1.04,1.27,BananaShape2
1.33,-704,BananaShape2
-1.23,0.89,BananaShape2
-329,-955,BananaShape2
174,-1.11,BananaShape2
-699,755,BananaShape2
-137,-1.16,BananaShape2
1.09,-1.1,BananaShape1
-0.0172,-1.03,BananaShape2
269,605,BananaShape1
305,1.63,BananaShape1
-1.82,904,BananaShape2
-527,-1.38,BananaShape2
557,-255,BananaShape1
-2.41,0.26,BananaShape2
-514,-1.07,BananaShape2
-325,-1.32,BananaShape2
2.53,1.5,BananaShape1
471,2.03,BananaShape2
986,843,BananaShape2
746,441,BananaShape2
-1.32,907,BananaShape2
1.33,1.7,BananaShape1
1.59,-378,BananaShape2
387,-6.53E-04,BananaShape1
-914,-919,BananaShape2
1.41,0.0907,BananaShape2
-639,522,BananaShape1
866,1.14,BananaShape2
-1.78,-491,BananaShape1
391,-0.0901,BananaShape1
-1.27,184,BananaShape1
-1.08,-612,BananaShape1
-717,455,BananaShape1
-1.11,0.00172,BananaShape1
-1.51,-966,BananaShape1
-862,1.53,BananaShape2
605,1.86,BananaShape1
-818,654,BananaShape1
-391,1.1,BananaShape2
941,-254,BananaShape1
1.59,1.72,BananaShape1
-1.51,-1.16,BananaShape1
413,473,BananaShape1
-351,-1,BananaShape2
1.68,113,BananaShape2
-834,1.48,BananaShape2
1.45,-507,BananaShape2
-559,0.0594,BananaShape1
1.23,-0.0997,BananaShape2
-0.0342,145,BananaShape1
-834,1.41,BananaShape2
743,-1.01,BananaShape1
1.01,1.82,BananaShape1
191,-1.29,BananaShape2
0.0543,-967,BananaShape2
768,-1.25,BananaShape1
1.12,612,BananaShape2
424,547,BananaShape1
1.29,-391,BananaShape2
-612,-1.42,BananaShape2
-201,287,BananaShape1
-779,1.09,BananaShape2
0.44,246,BananaShape1
778,952,BananaShape2
0.0179,-1.01,BananaShape2
-216,-1.38,BananaShape2
-554,-0.38,BananaShape1
0.0698,-1.25,BananaShape2
-869,625,BananaShape2
-1.53,-1.17,BananaShape1
-175,-909,BananaShape2
-1.5,-1.14,BananaShape1
528,-1.04,BananaShape1
1.07,0.61,BananaShape2
-987,-735,BananaShape1
-468,-1.17,BananaShape2
1.77,239,BananaShape2
885,-372,BananaShape1
2.59,-1.15,BananaShape2
1.04,285,BananaShape2
736,1.64,BananaShape2
1.23,458,BananaShape2
-137,-1.39,BananaShape2
-0.0574,-208,BananaShape1
-496,1.03,BananaShape2
-1.04,984,BananaShape2
952,-1.9,BananaShape1
-0.21,0.11,BananaShape1
-1.95,614,BananaShape2
1.68,-472,BananaShape2
-866,751,BananaShape2
322,-1.04,BananaShape2
-1.71,-653,BananaShape1
-486,-1.53,BananaShape2
587,-311,BananaShape1
-0.55,236,BananaShape1
1.4,-874,BananaShape1
-384,-1.08,BananaShape2
746,991,BananaShape2
758,-1.45,BananaShape2
-0.0468,-332,BananaShape1
698,1.02,BananaShape2
-1.53,658,BananaShape2
-162,-1.24,BananaShape2
-507,0.69,BananaShape1
1.41,-1.38,BananaShape1
-735,-1.19,BananaShape2
-141,-119,BananaShape1
1.31,628,BananaShape2
1.38,-1.02,BananaShape1
1.18,-1.19,BananaShape1
-0.0785,-1.16,BananaShape2
844,1.22,BananaShape2
913,-1.6,BananaShape1
-1.04,1.33,BananaShape2
-1.1,145,BananaShape1
-244,-1.2,BananaShape2
0.0643,-1.28,BananaShape2
483,-1.23,BananaShape2
1.37,1.29,BananaShape1
-869,634,BananaShape2
-0.0547,-1.06,BananaShape2
816,-133,BananaShape1
-1.49,744,BananaShape2
-813,-665,BananaShape1
1.6,0.0487,BananaShape2
742,1.56,BananaShape1
1.45,-188,BananaShape2
-791,-1.44,BananaShape2
-1.31,118,BananaShape1
0.0336,323,BananaShape1
308,-1.34,BananaShape2
856,-1.11,BananaShape1
532,-0.0431,BananaShape1
-171,1.68,BananaShape1
-305,247,BananaShape1
-422,-241,BananaShape1
836,849,BananaShape2
1.77,13,BananaShape2
-1.56,514,BananaShape2
137,-862,BananaShape2
-1.07,-17,BananaShape1
-1.31,-0.32,BananaShape1
-1.33,-581,BananaShape1
-1.76,-1.58,BananaShape1
-258,-1.06,BananaShape2
-253,-809,BananaShape2
395,1.35,BananaShape1
-1.39,-156,BananaShape1
446,-1.07,BananaShape2
1.52,795,BananaShape2
1.44,898,BananaShape2
1.04,952,BananaShape2
-1.82,-847,BananaShape1
-1.11,276,BananaShape1
-1.2,-1.19,BananaShape2
268,1.14,BananaShape2
1.29,-1.19,BananaShape1
-935,1.02,BananaShape2
247,-0.96,BananaShape2
387,1.59,BananaShape1
247,0.41,BananaShape1
722,153,BananaShape2
249,-451,BananaShape1
923,166,BananaShape1
-237,-0.0378,BananaShape1
1.27,496,BananaShape2
-1.2,1.43,BananaShape2
-1.19,-939,BananaShape2
0.0209,-973,BananaShape2
637,984,BananaShape2
714,-1.08,BananaShape1
-215,549,BananaShape1
306,-161,BananaShape1
205,-1.28,BananaShape2
1.51,1.52,BananaShape1
-761,373,BananaShape1
-706,-697,BananaShape2
-383,671,BananaShape1
-1.11,-0.44,BananaShape1
496,-614,BananaShape1
-0.0529,-0.0168,BananaShape1
2.09,1.1,BananaShape1
-1.28,-1.17,BananaShape1
1.44,0.0946,BananaShape2
2.06,-893,BananaShape2
-638,-752,BananaShape2
402,-0.39,BananaShape1
122,599,BananaShape1
1.42,1.49,BananaShape1
-1.55,588,BananaShape2
854,0.0949,BananaShape1
-268,0.75,BananaShape1
-0.57,502,BananaShape1
-381,-959,BananaShape2
236,443,BananaShape1
898,-719,BananaShape1
-432,1.13,BananaShape2
1.14,-938,BananaShape1
0.0935,2.1,BananaShape2
463,935,BananaShape2
-0.23,-1.02,BananaShape2
671,181,BananaShape1
168,1.7,BananaShape2
-175,0.0644,BananaShape1
796,423,BananaShape1
-824,-471,BananaShape1
-0.93,-502,BananaShape1
-1.06,1.49,BananaShape2
375,1.27,BananaShape2
2.45,1.25,BananaShape1
-2.04,401,BananaShape2
0.0735,-1.01,BananaShape2
-737,-0.0677,BananaShape1
848,402,BananaShape2
281,343,BananaShape1
-1.13,-0.0974,BananaShape1
-821,-1.44,BananaShape2
-211,-334,BananaShape1
-364,-1.4,BananaShape2
-1.27,-673,BananaShape1
784,1.39,BananaShape2
-1.02,883,BananaShape2
833,-0.0565,BananaShape1
478,1.31,BananaShape1
-1.14,-245,BananaShape1
1.14,494,BananaShape2
667,-1.01,BananaShape1
2.17,926,BananaShape1
-129,877,BananaShape1
-581,582,BananaShape1
427,1.77,BananaShape1
-138,425,BananaShape1
-1.98,875,BananaShape2
-337,559,BananaShape1
-369,-965,BananaShape2
325,-153,BananaShape1
-232,-364,BananaShape1
-749,1.26,BananaShape2
-566,1.19,BananaShape2
1.33,-774,BananaShape1
-1.25,-1.47,BananaShape2
0.00453,1.47,BananaShape2
-1.81,-543,BananaShape1
-307,938,BananaShape2
-1.18,732,BananaShape2
-1.68,0.93,BananaShape2
-1.52,-1.4,BananaShape1
-1.45,-701,BananaShape1
616,1.77,BananaShape1
-0.0222,-202,BananaShape1
246,-767,BananaShape2
-763,-573,BananaShape1
-581,-182,BananaShape1
1.42,-0.0465,BananaShape2
-139,-1.27,BananaShape2
-179,0.19,BananaShape1
-721,1.19,BananaShape2
-709,-942,BananaShape2
945,239,BananaShape1
-891,593,BananaShape2
-1.18,862,BananaShape2
1.3,-28,BananaShape2
576,-342,BananaShape1
0.0381,167,BananaShape1
-219,-195,BananaShape1
855,959,BananaShape2
-1.08,-1.17,BananaShape2
-596,-989,BananaShape2
-1.41,-856,BananaShape1
-298,-243,BananaShape1
444,1.14,BananaShape2
1.01,397,BananaShape2
1.31,-0.36,BananaShape1
1.78,1.19,BananaShape1
1.1,458,BananaShape2
-1.33,-647,BananaShape1
-1.6,-541,BananaShape1
-1.2,455,BananaShape2
1.01,1.57,BananaShape1
1.38,583,BananaShape2
-223,1.04,BananaShape2
-1,-1.22,BananaShape2
576,-665,BananaShape1
-394,1.39,BananaShape2
-573,-0.88,BananaShape2
-2.19,0.0991,BananaShape2
729,1.49,BananaShape1
308,-913,BananaShape2
661,0.0147,BananaShape1
515,884,BananaShape2
1.32,-144,BananaShape2
-1.05,-382,BananaShape1
1.46,-0.0465,BananaShape2
1.22,-159,BananaShape2
639,-815,BananaShape2
-235,352,BananaShape1
-2,403,BananaShape2
-158,-1.08,BananaShape2
1.71,1.39,BananaShape1
905,-551,BananaShape1
-0.0949,-821,BananaShape2
781,1.08,BananaShape2
-624,1.75,BananaShape2
-1.4,1.19,BananaShape2
-1.21,357,BananaShape1
123,-1.24,BananaShape2
1.01,446,BananaShape2
-666,-1.34,BananaShape2
-819,-943,BananaShape2
202,-1.17,BananaShape2
745,681,BananaShape2
-461,-1.07,BananaShape2
622,-546,BananaShape1
-1.51,-1.39,BananaShape1
1.05,409,BananaShape2
751,608,BananaShape2
-1.13,164,BananaShape1
2.33,1.21,BananaShape1
855,-265,BananaShape1
-0.0247,-765,BananaShape2
0.21,-1.26,BananaShape2
-1.67,-212,BananaShape1
-394,-338,BananaShape1
-389,-1.2,BananaShape2
1.11,1.33,BananaShape1
-1.24,323,BananaShape1
-116,-1.23,BananaShape2
372,1.6,BananaShape2
-1.23,-806,BananaShape1
1.31,-1.72,BananaShape1
-254,-1.37,BananaShape2
-1.15,-647,BananaShape1
1.21,-1.77,BananaShape1
0.00425,1.61,BananaShape2
-0.67,1.22,BananaShape2
1.57,1.16,BananaShape1
-241,897,BananaShape1
1.04,0.93,BananaShape2
1.39,504,BananaShape2
1.96,-709,BananaShape2
978,-1.33,BananaShape1
-1.67,-0.00451,BananaShape1
-529,-1.02,BananaShape2
-137,1.44,BananaShape2
-1.87,-0.78,BananaShape1
1.04,-0.24,BananaShape1
-1.21,-785,BananaShape1
0.8,662,BananaShape2
133,2.05,BananaShape2
1.34,-1.8,BananaShape1
175,652,BananaShape1
1.14,-0.0829,BananaShape2
-634,1.26,BananaShape2
-617,-792,BananaShape2
-1.42,728,BananaShape2
897,742,BananaShape2
-0.0814,2.18,BananaShape1
1.27,1.6,BananaShape1
-759,366,BananaShape1
-847,-896,BananaShape2
1.23,-785,BananaShape1
-843,-1.14,BananaShape2
357,647,BananaShape2
-1.36,-258,BananaShape1
977,597,BananaShape2
1.05,-467,BananaShape1
